root@notebook-1898717724949078018-scngsz9kqh-56749:~# python model.py 
Training Original BotRGCN:
Epoch 005 | Loss: 0.5473 | Val Acc: 0.8270 | Val F1: 0.7907
Epoch 006 | Loss: 0.4546 | Val Acc: 0.8318 | Val F1: 0.7958
Epoch 007 | Loss: 0.3974 | Val Acc: 0.8346 | Val F1: 0.7994
Epoch 008 | Loss: 0.3773 | Val Acc: 0.9026 | Val F1: 0.8888
Epoch 009 | Loss: 0.3307 | Val Acc: 0.9159 | Val F1: 0.9048
Epoch 010 | Loss: 0.2864 | Val Acc: 0.9149 | Val F1: 0.9050
Epoch 011 | Loss: 0.2917 | Val Acc: 0.9206 | Val F1: 0.9107
Epoch 012 | Loss: 0.2712 | Val Acc: 0.9263 | Val F1: 0.9172
Epoch 013 | Loss: 0.2516 | Val Acc: 0.9263 | Val F1: 0.9172
Epoch 014 | Loss: 0.2439 | Val Acc: 0.9253 | Val F1: 0.9162
Epoch 015 | Loss: 0.2401 | Val Acc: 0.9244 | Val F1: 0.9152
Epoch 016 | Loss: 0.2236 | Val Acc: 0.9282 | Val F1: 0.9203
Epoch 017 | Loss: 0.2157 | Val Acc: 0.9310 | Val F1: 0.9236
Epoch 018 | Loss: 0.2135 | Val Acc: 0.9282 | Val F1: 0.9196
Epoch 019 | Loss: 0.2067 | Val Acc: 0.9310 | Val F1: 0.9230
Epoch 020 | Loss: 0.2033 | Val Acc: 0.9376 | Val F1: 0.9309
Epoch 021 | Loss: 0.2011 | Val Acc: 0.9386 | Val F1: 0.9325
Epoch 022 | Loss: 0.1924 | Val Acc: 0.9395 | Val F1: 0.9336
Epoch 023 | Loss: 0.1911 | Val Acc: 0.9414 | Val F1: 0.9355
Epoch 024 | Loss: 0.1889 | Val Acc: 0.9452 | Val F1: 0.9398
Epoch 025 | Loss: 0.1781 | Val Acc: 0.9452 | Val F1: 0.9400
Epoch 026 | Loss: 0.1797 | Val Acc: 0.9471 | Val F1: 0.9422
Epoch 027 | Loss: 0.1736 | Val Acc: 0.9471 | Val F1: 0.9422
Epoch 028 | Loss: 0.1679 | Val Acc: 0.9423 | Val F1: 0.9371
Epoch 029 | Loss: 0.1674 | Val Acc: 0.9442 | Val F1: 0.9393
